,host_name,calculated_host_listings_count_entire_homes,neighbourhood_cleansed,latitude,longitude
184,Bill And Helena,19,ΝΕΟΣ ΚΟΣΜΟΣ,37.96322,23.72921
185,Ted,22,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9958289,23.7294696
186,Evan&Anetta,68,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97681,23.72748
187,Dropebnb,49,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9868075107795,23.730014213674533
188,Alexandros,4,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97186,23.73217
189,Stella And Nikos,25,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96348875122471,23.722468447126733
190,Fiona,8,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00769,23.73321
191,Ethereal,10,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9759756,23.7321331
192,KASO Homes,4,ΝΕΟΣ ΚΟΣΜΟΣ,37.9639397,23.7291445
193,Upstreet,121,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96586,23.72643
194,Roubina,20,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96549715093191,23.72775354585936
195,Nasos,41,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9682846069336,23.72687530517578
196,MyGreek,20,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96451,23.72285
197,Martine,4,ΠΑΤΗΣΙΑ,38.01481,23.7367
198,NOHO Boutique,19,ΘΗΣΕΙΟ,37.9743147,23.7166672
199,Κωνσταντινος,22,ΑΚΡΟΠΟΛΗ,37.9652123,23.720167
200,David,12,ΖΑΠΠΕΙΟ,37.96672199707404,23.731773452792112
201,Nikolaos,4,ΖΑΠΠΕΙΟ,37.969498,23.731466
202,Ethereal,10,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9759756,23.7321331
203,Homer & Isabella,58,ΝΕΟΣ ΚΟΣΜΟΣ,37.9642614,23.7289841
204,Mlg,19,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9772076,23.7286277
205,Mgv,101,ΠΑΓΚΡΑΤΙ,37.97145181708417,23.7502365373916
206,Athens Houses,19,ΚΥΨΕΛΗ,37.99921248742596,23.73493413353267
207,Chris,13,ΣΕΠΟΛΙΑ,38.00676,23.71648
208,Home,23,ΝΙΡΒΑΝΑ,38.01232688590734,23.722909241020496
209,Στυλιανη,3,ΝΕΟΣ ΚΟΣΜΟΣ,37.96229787635289,23.72943570000001
210,Luxurious,3,ΑΝΩ ΚΥΨΕΛΗ,38.00741,23.74105
211,Bill & John,30,ΚΟΛΩΝΑΚΙ,37.979172,23.737612
212,Ran,6,ΠΑΓΚΡΑΤΙ,37.964548,23.746074
213,Phaedrus Living,34,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96300663848098,23.72054346084316
214,Ana,4,ΝΕΟΣ ΚΟΣΜΟΣ,37.95794991921505,23.728825543282465
215,NOHO Boutique,19,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96444,23.72397
